"N_GC","MV_T"
10,-15.46
8,-15.4
11,-16.66
0,-16.54
500,-21.18
4700,-22.13
660,-22.08
320,-21.53
4245,-22.29
5,-13
400,-21.05
3613,-22.76
3020,-22.45
365,-20.01
7800,-22.69
3,-14.47
21,-18.31
10,-16.57
276,-19.14
0,-13.13
231,-20.01
280,-21.18
274,-20.96
21,-17.77
34,-17.07
25,-17.87
1,-13.03
360,-20.43
10,-16.47
225,-20.64
10,-15.47
390,-20.84
1,-13.37
30,-16.93
6000,-22.03
770,-21.59
7000,-22.86
2,-13.47
0,-14.37
0,-13.07
155,-18.97
6,-14.57
500,-20.74
42,-18.7
240,-20.58
260,-20.84
21,-18.49
22,-17.36
21,-15.47
14,-18.18
132,-20.27
55,-19.71
250,-20.98
140,-21.72
4,-18.96
2850,-23.33
1320,-22.14
6850,-22.3
11577,-23.7
2120,-22.41
143,-21.23
2690,-22.46
16400,-24.19
720,-22.03
50,-19.45
4400,-23.25
712,-21.5
130,-19.27
60,-17.64
5,-11.51
2160,-22.3
470,-20.53
1330,-21.85
6000,-21.33
4750,-21.6
16500,-21.84
3100,-22.19
191,-19.95
216,-20.9
8,-14.13
4880,-22.1
1075,-23.25
300,-21.81
450,-21.11
400,-22.02
3470,-22.68
590,-21.21
12000,-23.14
2800,-22.28
160,-20.08
8300,-23.29
26,-18.04
2,-16.39
175,-20.08
10,-15.98
16,-17.12
29,-16.21
8,-13.61
8,-17.6
1242,-22.14
22,-16.17
1100,-20.97
950,-20.74
18,-15.88
3,-14.88
4,-13.47
1,-16.24
18,-18.5
5,-12.9
3246,-22.35
16,-15.47
4301,-22.36
70,-19.27
43,-17.57
18,-16.36
2800,-22.36
5,-13.97
61,-16.96
23,-16.57
15,-16.37
4,-15.87
141,-19.68
20,-17.54
2,-12.55
16,-16.78
66,-17.79
5,-15.55
8,-16.2
25,-16.58
72,-19.07
14,-16
14,-16.77
7000,-22.82
376,-20.81
8,-12.87
26,-16.67
35,-19.64
3,-13.23
58,-19.79
4,-17.77
8,-16.59
20,-16
13000,-22.61
31,-19.03
11,-18.7
11,-14.9
11,-17.51
392,-21.4
0,-12.67
27,-17.34
26,-16.9
50,-16.72
25,-17.97
61,-17.39
27,-16.86
7,-16.78
12,-15.61
6,-16.01
19,-16.53
2,-16.57
41,-17.16
8,-13.37
31,-16.05
54,-16.91
15,-15.89
4,-16.46
47,-19.15
1100,-20.39
10,-15.81
213,-20
1052,-21.07
0,-13.2
10,-16.33
4,-16.03
18,-17.13
38,-17.6
10,-17.31
26,-16.8
4,-16.25
6,-16.6
803,-21.34
49,-17.39
4200,-21.43
2,-16.06
4000,-22.41
205,-19.74
24,-17.36
750,-21.28
17,-17.85
9,-16.36
229,-21.27
6100,-22.25
17700,-23.7
6500,-23.16
1290,-21.12
880,-20.99
2150,-20.88
920,-20.53
20000,-23.48
295,-20.47
1220,-21.06
620,-20.41
11000,-23.47
160,-20.16
470,-20.86
1100,-21.39
6700,-21.26
1300,-22.36
1000,-22.34
4,-13.89
1,-11.17
1300,-21.26
6000,-23.35
32500,-23.8
5878,-21.53
6400,-23.08
22500,-24.1
2970,-23.09
1600,-22.29
3500,-21.96
2900,-22.27
180,-19.77
4670,-22.12
18000,-23.1
1497,-22.02
27000,-23.3
17900,-23.5
13100,-23.08
14000,-23
5030,-22.08
7800,-22.6
9200,-23.04
4560,-22.77
17000,-23.7
4600,-23.41
1600,-20.5
1140,-22.63
610,-21.1
6,-13.9
1860,-21.31
1634,-21.19
400,-20.54
2100,-22.04
2833,-22.51
18000,-23.35
3000,-23.07
