r,r2error,r2xi
26.0,0.0076209498302757285,0.19459977576292278
30.0,0.008810984746052034,0.10566079891496358
34.0,0.009856376563135861,0.07660484884177302
38.0,0.0110958759651035,0.03459043116783414
42.0,0.012327817661429551,-0.015152653289437133
46.0,0.01340443161408904,-0.05830292197945108
50.0,0.014579097495845279,-0.034945271905467604
54.0,0.015764294970929526,-0.08673917464653744
58.0,0.016769590695587668,-0.13805425882584388
62.0,0.018236294353786896,-0.0693164249644994
66.0,0.019276852334335955,-0.13065589504049904
70.0,0.020503871016941733,-0.09107842216643462
74.0,0.021777884073662046,-0.09436233096452923
78.0,0.02305596560234298,-0.0972965548088479
82.0,0.02406653441933615,-0.1019538579213437
86.0,0.025120504981523174,-0.08955467935977206
90.0,0.026372317633543512,-0.09496382998329041
94.0,0.02768668875635058,-0.049816746493967855
98.0,0.028756161056410615,-0.019852354241799312
102.0,0.029862981487053186,-0.02683282112840104
106.0,0.030958385546145478,-0.022229913291216215
110.0,0.03230034991697328,-0.01220568223311199
114.0,0.0336594017360449,-0.04232071182467194
118.0,0.034799571035781504,-0.09498775326286615
122.0,0.0361078853911128,-0.08470757045884167
126.0,0.03710641827063001,-0.1014676670264982
130.0,0.03848553998661943,-0.11431593459061078
134.0,0.039892893951829815,-0.08027102867762238
138.0,0.04125267597555936,-0.11085920206640135
142.0,0.042417364228523276,-0.12960832458134802
146.0,0.04354911426462603,-0.11485935937916447
150.0,0.04474640502527333,-0.06902981670499173
154.0,0.04617064543504244,-0.08862576301401426
158.0,0.04760049720627739,-0.08747072063091274
162.0,0.048839780920064094,-0.1074175618318546
166.0,0.05033993480425458,-0.11551031619381337
170.0,0.051751995181870125,-0.12985706322814866
174.0,0.05289567180020546,-0.08773471131741145
178.0,0.05383676708331855,-0.06411724956275644
182.0,0.05507174484609411,-0.07884690155613693
186.0,0.05626322887903209,-0.09284592722504074
190.0,0.0580636087047912,-0.10098460958945774
194.0,0.059266607064378043,-0.11536220272934351
198.0,0.06379303965732158,-0.091559357257223
